Player,Team,Pos,# of Top 5 Szns,# of Top 12 Szns,# of Top 24 Szns,Draft,Age,Draft Year,Cr.Year,SZN Year,POS RK,PPG POS RK,TEAM POS RK,GMs,Opps,TGT%,EPG,FPOE/G,aDot,Yd/TMAtt / G,PPG (PPR),TD Rate (YD/TD),Dominator (rec),Opportunity Share (% of team - non qb - RuAtt and Tgts),PPR,.5ppr,STD,SIXPT,FFPC,DK,FD,Snaps,Snap%,Tgt,Tgt Shr,Att,% Tm Att,Opps,% Tm Opps,Yards,Att,Comp,Comp%,TD,Int,Yd/Att,Rating,Total,Completed,Conv%,AY/Att,EP,FPOE,PaEP,PaFPOE,ruEP,ruFPOE,reEP,reFPOE,Att,Yards,TD,RUSH TD% (TD/ATT),YPC,% Tm Att,FumL,Tgt,Rec,Yards,TD,TD% (REC/TD,YPR,Yd/Tgt,TGT%,AirYards,AY/Tgt,YAC,RACR,Airyards %,WOPR,AirYAC (AY+YAC),
Terance Mathis,PIT,WR,0.00,0.00,0.00,140,35,1990,13,2002,97,102,4,11,40,7.00%,5.93,-0.76,NA,0.30,5.16,109.00,9.2%,4.6%,56.8,45.3,33.8,NA,NA,NA,NA,0,NA,40,0.07,0,0,40,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,65.2,-8.4,0,0,0,0,65.2,-8.4,0,0,0,0.00%,0,0,NA,40,23,218,2,5.00%,9.5,5.5,0.07,NA,NA,NA,NA,NA,NA,NA,Terance Mathis13
Ricky Proehl,CAR,WR,0.00,0.00,0.00,58,35,1990,14,2003,73,90,3,15,52,12.00%,5.83,0.16,NA,0.42,5.99,97.25,22.7%,6.6%,89.9,76.4,62.9,NA,NA,NA,NA,0,NA,52,0.12,0,0,52,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,87.5,2.4,0,0,0,0,87.5,2.4,0,0,0,0.00%,0,0,NA,52,27,389,4,7.69%,14.4,7.5,0.12,NA,NA,NA,NA,NA,NA,NA,Ricky Proehl14
Ricky Proehl,CAR,WR,0.00,0.00,0.00,58,36,1990,15,2004,75,100,4,16,72,13.00%,7.03,-1.74,NA,0.53,5.29,0.00,12.9%,9.7%,84.6,67.6,50.6,NA,NA,NA,NA,0,NA,70,0.13,1,0,71,NA,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,112.4,-27.8,0,0,0.5,0.4,111.9,-28.2,1,9,0,0.00%,9,0,NA,70,34,497,0,0.00%,14.6,7.1,0.13,NA,NA,NA,NA,NA,NA,NA,Ricky Proehl15
Ricky Proehl,CAR,WR,0.00,0.00,0.00,58,37,1990,16,2005,71,85,3,15,51,11.00%,5.67,0.48,NA,0.49,6.15,108.25,20.4%,6.8%,92.3,79.8,67.3,NA,NA,NA,NA,0,NA,50,0.11,1,0,51,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,85.1,7.2,0,0,0.5,-1.3,84.6,8.5,1,-8,0,0.00%,-8,0,NA,50,25,441,4,8.00%,17.6,8.8,0.11,NA,NA,NA,NA,NA,NA,NA,Ricky Proehl16
Ricky Proehl,IND,WR,0.00,0.00,0.00,58,38,1990,17,2006,148,133,5,2,4,1.00%,3.00,0.00,NA,0.24,3.00,0.00,0.7%,0.5%,6,4.5,3,NA,NA,NA,NA,0,NA,4,0.01,0,0,4,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,6,0,0,0,0,0,6,0,0,0,0,0.00%,0,0,NA,4,3,30,0,0.00%,10,7.5,0.01,NA,NA,NA,NA,NA,NA,NA,Ricky Proehl17
Andre Roberts,ARI,WR,0.00,0.00,0.00,88,22,2010,1,2010,90,112,4,14,49,10.00%,5.39,-0.62,8.70,0.40,4.76,153.50,19.4%,6.8%,66.7,54.7,42.7,66.7,66.7,68.7,52.7,0,NA,49,0.1,0,0,49,0.06,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,75.4,-8.7,0,0,0,0,75.4,-8.7,0,0,0,0.00%,NA,0,1,49,24,307,2,4.08%,12.8,6.3,0.1,428,8.7,138,0.72,0.1,0.22,566,Andre Roberts1
Antonio Brown,PIT,WR,6.00,6.00,7.00,195,22,2010,1,2010,123,129,4,9,19,7.00%,2.98,0.66,5.80,0.31,3.63,0.00,4.3%,2.6%,32.7,24.7,16.7,32.7,32.7,32.7,24.7,0,NA,19,0.07,0,0,19,0.04,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,26.8,5.9,0,0,0,0,26.8,5.9,0,0,0,0.00%,NA,0,0,19,16,167,0,0.00%,10.4,8.8,0.07,111,5.8,113,1.5,0.05,0.14,224,Antonio Brown1
Armanti Edwards,CAR,WR,0.00,0.00,0.00,89,22,2010,1,2010,185,184,6,3,4,2.00%,1.10,-0.87,11.00,0.04,0.23,0.00,0.0%,0.5%,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0,NA,2,0.02,1,0.01,3,0.02,0,1,1,1,0,0,0,79.2,0,0,NaN%,0,3.3,-2.6,0,0,0.3,0.4,3,-3,1,7,0,0.00%,7,0.01,0,2,0,0,0,0.00%,NA,0,0.02,22,11,0,0,0.03,0.06,22,Armanti Edwards1
Arrelious Benn,TB,WR,0.00,0.00,0.00,39,22,2010,1,2010,84,105,3,14,44,9.00%,4.91,0.80,12.10,0.53,5.71,215.00,15.1%,7.1%,80,67.5,55,80,80,83,67.5,0,NA,38,0.09,6,0.02,44,0.05,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,68.8,11.2,0,0,3.6,-0.1,65.3,11.2,6,35,0,0.00%,5.8,0.02,0,38,25,395,2,5.26%,15.8,10.4,0.09,460,12.1,170,0.86,0.12,0.22,630,Arrelious Benn1
Blair White,IND,WR,0.00,0.00,0.00,329,23,2010,1,2010,72,73,4,12,57,11.00%,8.05,0.41,9.80,0.44,8.46,71.00,15.1%,7.0%,101.5,83.5,65.5,101.5,101.5,101.5,83.5,0,NA,57,0.11,0,0,57,0.07,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,96.6,4.9,0,0,0,0,96.6,4.9,0,0,0,0.00%,NA,0,0,57,36,355,5,8.77%,9.9,6.2,0.11,557,9.8,80,0.64,0.12,0.25,637,Blair White1
