Player,Team,Pos,# of Top 5 Szns,# of Top 12 Szns,# of Top 24 Szns,Draft,Age,Draft Year,Cr.Year,SZN Year,POS RK,PPG POS RK,TEAM POS RK,GMs,Opps,TGT%,EPG,FPOE/G,aDot,Yd/TMAtt / G,PPG (PPR),TD Rate (YD/TD),Dominator (rec),Opportunity Share (% of team - non qb - RuAtt and Tgts),PPR,.5ppr,STD,SIXPT,FFPC,DK,FD,Snaps,Snap%,Tgt,Tgt Shr,Att,% Tm Att,Opps,% Tm Opps,Yards,Att,Comp,Comp%,TD,Int,Yd/Att,Rating,Total,Completed,Conv%,AY/Att,EP,FPOE,PaEP,PaFPOE,ruEP,ruFPOE,reEP,reFPOE,Att,Yards,TD,RUSH TD% (TD/ATT),YPC,% Tm Att,FumL,Tgt,Rec,Yards,TD,TD% (REC/TD,YPR,Yd/Tgt,TGT%,AirYards,AY/Tgt,YAC,RACR,Airyards %,WOPR,AirYAC (AY+YAC),
T.Y. Hilton,IND,WR,1.00,2.00,5.00,92,23,2012,1,2012,28,34,2,15,96,16.00%,9.97,2.49,12.20,0.89,12.47,127.14,34.9%,11.5%,187,162,137,187,187,202,162,673,0.61,90,0.16,5,0.01,95,0.1,0,1,0,0,0,0,0,39.6,7,0,0,7,149.6,37.4,0.1,-0.1,5.6,-2.7,143.9,34.2,5,29,0,0.00%,5.8,0.01,0,90,50,861,7,7.78%,17.2,9.6,0.16,1099,12.2,378,0.78,0.19,0.37,1477,T.Y. Hilton1
Terrelle Pryor,LV,WR,0.00,0.00,1.00,329,23,2011,2,2012,132,62,2,3,41,1.00%,9.10,0.27,1.00,1.21,9.35,76.00,0.5%,1.6%,28.05,27.55,27.05,32.05,29.05,27.5,27,70,0.55,1,0.01,10,0.1,11,0.06,155,30,14,0.47,2,1,5.2,70.8,312,125,0.4,10.4,27.3,0.8,16.2,-2.5,9.6,1.5,1.5,1.7,10,51,1,10.00%,5.1,0.1,0,1,1,22,0,0.00%,22,22,0.01,1,1,21,22,0,0.02,22,Terrelle Pryor2
Torrey Smith,BAL,WR,0.00,0.00,1.00,58,23,2011,2,2012,31,46,2,16,113,20.00%,11.41,0.06,18.20,0.86,11.46,108.00,39.6%,16.1%,183.4,158.9,134.4,183.4,183.4,189.4,158.9,919,0.84,110,0.2,3,0.01,113,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,182.5,0.9,0,0,1.8,-0.9,180.7,1.8,3,9,0,0.00%,3,0.01,0,110,49,855,8,7.27%,17.4,7.8,0.2,2005,18.2,211,0.43,0.37,0.56,2216,Torrey Smith2
Victor Cruz,NYG,WR,1.00,1.00,2.00,329,26,2010,3,2012,14,16,1,16,143,27.00%,14.58,1.37,10.60,1.15,15.95,109.20,46.8%,19.2%,255.2,212.2,169.2,255.2,255.2,270.2,212.2,904,0.89,143,0.27,0,0,143,0.15,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,233.3,21.9,0,0,0,0,233.3,21.9,0,0,0,0.00%,NA,0,0,143,86,1092,10,6.99%,12.7,7.6,0.27,1516,10.6,328,0.72,0.3,0.61,1844,Victor Cruz3
A.J. Green,CIN,WR,2.00,4.00,6.00,4,25,2011,3,2013,4,6,1,16,178,31.00%,18.23,0.94,12.50,1.34,19.16,129.64,49.7%,22.9%,306.6,257.6,208.6,306.6,306.6,324.6,257.6,1056,0.93,178,0.31,0,0,178,0.17,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,291.6,15,0,0,0,0,291.6,15,0,0,0,0.00%,NA,0,0,178,98,1426,11,6.18%,14.6,8,0.31,2232,12.5,390,0.64,0.45,0.78,2622,A.J. Green3
Alshon Jeffery,CHI,WR,0.00,2.00,3.00,45,23,2012,2,2013,8,10,2,16,166,26.00%,16.24,1.61,12.20,1.55,17.85,218.00,42.9%,22.7%,285.6,241.1,196.6,285.6,285.6,299.6,239.1,963,0.91,150,0.26,16,0.04,166,0.17,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,259.9,25.7,0,0,10.6,0,249.2,25.9,16,105,0,0.00%,6.6,0.04,1,150,89,1421,7,4.67%,16,9.5,0.26,1824,12.2,411,0.78,0.36,0.65,2235,Alshon Jeffery2
Antonio Brown,PIT,WR,6.00,6.00,7.00,195,25,2010,4,2013,2,5,1,16,174,29.00%,17.14,2.55,9.70,1.55,19.69,189.75,49.1%,23.4%,315.05,260.05,205.05,315.05,315.05,329.9,259.9,954,0.91,166,0.29,7,0.02,173,0.18,15,1,1,1,0,0,15,118.8,11,11,1,11,274.3,40.8,1.4,-0.6,3.2,-2.8,269.6,32.7,7,4,0,0.00%,0.6,0.02,0,166,110,1499,8,4.82%,13.6,9,0.29,1610,9.7,527,0.93,0.36,0.68,2137,Antonio Brown4
Brandon LaFell,CAR,WR,0.00,0.00,1.00,78,27,2010,4,2013,51,66,2,16,87,18.00%,8.59,0.36,11.50,0.67,8.95,128.40,29.0%,13.6%,143.2,118.7,94.2,143.2,143.2,146.2,118.7,907,0.88,85,0.18,2,0,87,0.09,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,137.5,5.7,0,0,2,-0.5,135.5,6.2,2,15,0,0.00%,7.5,0,0,85,49,627,5,5.88%,12.8,7.4,0.18,977,11.5,257,0.64,0.23,0.43,1234,Brandon LaFell4
DeAndre Hopkins,HOU,WR,5.00,5.00,6.00,27,21,2013,1,2013,50,64,2,16,91,15.00%,9.16,-0.14,13.50,0.77,9.01,401.00,24.4%,12.3%,144.2,118.2,92.2,144.2,144.2,146.2,116.2,995,0.89,91,0.15,0,0,91,0.09,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,146.5,-2.3,0,0,0,0,146.5,-2.3,0,0,0,0.00%,NA,0,1,91,52,802,2,2.20%,15.4,8.8,0.15,1224,13.5,178,0.66,0.24,0.39,1402,DeAndre Hopkins1
Demaryius Thomas,DEN,WR,3.00,4.00,6.00,22,26,2010,4,2013,1,4,1,16,142,21.00%,14.92,5.02,9.60,1.26,19.94,102.14,38.4%,16.8%,319,273,227,319,319,337,273,1106,0.92,142,0.21,0,0,142,0.13,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,238.7,80.3,0,0,0,0,238.7,80.3,0,0,0,0.00%,NA,0,0,142,92,1430,14,9.86%,15.5,10.1,0.21,1369,9.6,708,1.04,0.27,0.5,2077,Demaryius Thomas4
Dez Bryant,DAL,WR,2.00,3.00,5.00,24,25,2010,4,2013,7,9,1,16,161,28.00%,17.14,1.26,11.20,1.34,18.40,94.92,48.9%,24.2%,294.4,247.9,201.4,294.4,294.4,305.4,245.9,935,0.94,160,0.28,1,0,161,0.18,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,274.3,20.1,0,0,0.6,-0.5,273.7,20.6,1,1,0,0.00%,1,0,1,160,93,1233,13,8.13%,13.3,7.7,0.28,1790,11.2,550,0.69,0.39,0.69,2340,Dez Bryant4
Doug Baldwin,SEA,WR,0.00,2.00,3.00,329,25,2011,3,2013,43,58,2,16,75,18.00%,7.55,2.35,11.60,0.84,9.90,156.80,31.4%,11.4%,158.4,133.4,108.4,158.4,158.4,158.4,133.4,748,0.74,73,0.18,2,0,75,0.08,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,120.8,37.6,0,0,2.1,-1.5,118.7,39.1,2,6,0,0.00%,3,0,0,73,50,778,5,6.85%,15.6,10.7,0.18,844,11.6,218,0.92,0.21,0.42,1062,Doug Baldwin3
Emmanuel Sanders,PIT,WR,1.00,1.00,4.00,82,26,2010,4,2013,32,41,2,16,113,19.00%,11.99,-0.64,10.20,0.78,11.34,127.50,27.9%,15.3%,181.5,148,114.5,181.5,181.5,181.5,148,797,0.76,112,0.19,1,0,113,0.12,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,191.8,-10.3,0,0,2.5,2,189.3,-13,1,25,0,0.00%,25,0,0,112,67,740,6,5.36%,11,6.6,0.19,1143,10.2,270,0.65,0.25,0.47,1413,Emmanuel Sanders4
Eric Decker,DEN,WR,0.00,2.00,3.00,87,26,2010,4,2013,9,12,2,16,136,20.00%,14.89,2.73,10.90,1.13,17.61,117.09,33.1%,16.1%,281.8,238.3,194.8,281.8,281.8,295.8,236.3,1050,0.87,136,0.2,0,0,136,0.12,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,238.2,43.6,0,0,0,0,238.2,43.6,0,0,0,0.00%,NA,0,1,136,87,1288,11,8.09%,14.8,9.5,0.2,1487,10.9,387,0.87,0.29,0.51,1874,Eric Decker4
Golden Tate,SEA,WR,0.00,2.00,4.00,60,25,2010,4,2013,30,37,1,16,101,24.00%,10.04,1.64,10.50,1.00,11.68,185.80,34.9%,15.3%,186.9,154.9,122.9,186.9,186.9,192.9,154.9,762,0.75,98,0.24,3,0.01,101,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,160.7,26.2,0,0,2.4,0.7,158.3,25.5,3,31,0,0.00%,10.3,0.01,0,98,64,898,5,5.10%,14,9.2,0.24,1031,10.5,471,0.87,0.26,0.54,1502,Golden Tate4
Josh Gordon,CLE,WR,1.00,1.00,1.00,329,22,2012,2,2013,3,1,1,14,164,27.00%,18.79,3.66,10.00,2.02,22.46,192.67,55.6%,25.0%,314.4,270.9,227.4,314.4,314.4,335.4,270.9,899,0.93,159,0.27,5,0.02,164,0.18,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,263.1,51.3,0,0,3.4,5.4,259.7,45.9,5,88,0,0.00%,17.6,0.02,0,159,87,1646,9,5.66%,18.9,10.4,0.27,1589,10,472,1.04,0.4,0.69,2061,Josh Gordon2
Julio Jones,ATL,WR,3.00,7.00,8.00,6,24,2011,3,2013,65,2,1,5,61,28.00%,20.20,2.14,10.00,1.92,22.34,293.50,16.6%,9.3%,111.7,91.2,70.7,111.7,111.7,119.7,89.2,295,0.86,60,0.28,1,0.01,61,0.2,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,101,10.7,0,0,0.1,0.6,100.9,10.1,1,7,0,0.00%,7,0.01,1,60,41,580,2,3.33%,14.1,9.7,0.28,601,10,245,0.97,0.4,0.7,846,Julio Jones3
Keenan Allen,LAC,WR,1.00,4.00,5.00,76,21,2013,1,2013,18,22,1,15,104,21.00%,11.78,3.13,9.90,1.09,14.91,130.75,35.9%,14.8%,223.6,188.1,152.6,223.6,223.6,236.6,184.1,944,0.89,104,0.21,0,0,104,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,176.7,46.9,0,0,0,0,176.7,47.6,0,0,0,0.00%,NA,0,2,104,71,1046,8,7.69%,14.7,10.1,0.21,1034,9.9,411,1.01,0.26,0.49,1445,Keenan Allen1
Kendall Wright,TEN,WR,0.00,0.00,1.00,20,24,2012,2,2013,20,27,1,16,140,27.00%,14.11,-0.74,7.40,1.09,13.37,539.50,33.7%,18.8%,213.9,166.9,119.9,213.9,213.9,219.9,166.9,808,0.75,140,0.27,0,0,140,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,225.7,-11.8,0,0,0,0,225.7,-11.8,0,0,0,0.00%,NA,0,0,140,94,1079,2,1.43%,11.5,7.7,0.27,1042,7.4,548,1.04,0.22,0.55,1590,Kendall Wright2
Marvin Jones,CIN,WR,0.00,1.00,2.00,166,23,2012,2,2013,29,35,2,16,88,14.00%,8.80,2.99,10.50,0.73,11.79,77.70,31.6%,11.3%,188.7,163.2,137.7,188.7,188.7,191.7,163.2,542,0.48,80,0.14,8,0.02,88,0.08,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,140.8,47.9,0,0,4.5,2.1,136.5,45.7,8,65,0,0.00%,8.1,0.02,0,80,51,712,10,12.50%,14,8.9,0.14,843,10.5,243,0.84,0.17,0.33,1086,Marvin Jones2
Mike Williams,TB,WR,0.00,0.00,2.00,101,26,2010,4,2013,110,62,2,6,40,18.00%,10.88,-1.62,10.10,0.68,9.27,108.00,11.9%,5.3%,55.6,44.6,33.6,55.6,55.6,55.6,44.6,363,0.87,40,0.18,0,0,40,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,65.3,-9.7,0,0,0,0,65.3,-9.7,0,0,0,0.00%,NA,0,0,40,22,216,2,5.00%,9.8,5.4,0.18,402,10.1,67,0.54,0.19,0.4,469,Mike Williams4
Randall Cobb,GB,WR,0.00,1.00,2.00,64,23,2011,3,2013,68,11,1,6,51,21.00%,14.60,3.08,8.10,1.28,17.68,127.75,17.6%,6.6%,106.1,90.6,75.1,106.1,106.1,112.1,90.6,332,0.78,47,0.21,4,0.02,51,0.13,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,87.6,18.5,0,0,3.5,4.3,84.1,14.2,4,78,0,0.00%,19.5,0.02,0,47,31,433,4,8.51%,14,9.2,0.21,381,8.1,177,1.14,0.2,0.46,558,Randall Cobb3
Rishard Matthews,MIA,WR,0.00,0.00,1.00,227,24,2012,2,2013,77,97,4,16,67,12.00%,6.64,-0.53,8.50,0.48,6.11,224.00,15.4%,9.5%,97.8,77.3,56.8,97.8,97.8,100.8,77.3,520,0.51,67,0.12,0,0,67,0.07,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,106.2,-8.4,0,0,0,0,106.2,-8.4,0,0,0,0.00%,NA,0,0,67,41,448,2,2.99%,10.9,6.7,0.12,569,8.5,148,0.79,0.1,0.25,717,Rishard Matthews2
Robert Woods,BUF,WR,0.00,1.00,3.00,41,21,2013,1,2013,61,69,2,14,87,19.00%,9.53,-0.94,13.00,0.67,8.59,201.00,26.8%,11.9%,120.3,100.3,80.3,120.3,120.3,120.3,100.3,910,0.89,85,0.19,2,0,87,0.09,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,133.4,-13.1,0,0,2,-0.4,131.4,-12.7,2,16,0,0.00%,8,0,0,85,40,587,3,3.53%,14.7,6.9,0.19,1108,13,131,0.53,0.28,0.48,1239,Robert Woods1
T.Y. Hilton,IND,WR,1.00,2.00,5.00,92,24,2012,2,2013,19,26,2,16,140,24.00%,13.98,-0.17,11.70,1.03,13.81,217.80,38.1%,18.4%,220.9,179.9,138.9,220.9,220.9,235.9,179.9,760,0.71,138,0.24,2,0,140,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,223.6,-2.7,0,0,1.3,-0.7,222.3,-2,2,6,0,0.00%,3,0,0,138,82,1083,5,3.62%,13.2,7.8,0.24,1616,11.7,392,0.67,0.34,0.6,2008,T.Y. Hilton2
Terrelle Pryor,LV,WR,0.00,0.00,1.00,329,24,2011,3,2013,37,21,1,11,355,0.00%,15.56,-0.50,NA,3.76,15.05,263.78,0.0%,11.7%,165.5,165.5,165.5,179.5,176.5,162.52,154.52,588,0.8,0,0,83,0.26,83,0.13,1798,272,156,0.57,7,11,6.6,69.1,2050,880,0.43,7.5,171.2,-5.5,111.3,-15.4,60.1,9.5,0,0,83,576,2,2.41%,6.9,0.26,2,0,0,0,0,0.00%,NA,NA,0,0,NA,0,NA,0,0,0,Terrelle Pryor3
Torrey Smith,BAL,WR,0.00,0.00,1.00,58,24,2011,3,2013,22,29,1,16,137,22.00%,13.76,-1.03,15.30,1.10,12.74,282.00,39.4%,18.2%,203.8,171.3,138.8,203.8,203.8,209.8,171.3,1098,0.97,137,0.22,0,0,137,0.13,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,220.2,-16.4,0,0,0,0,220.2,-16.4,0,0,0,0.00%,NA,0,0,137,65,1128,4,2.92%,17.4,8.2,0.22,2096,15.3,362,0.54,0.37,0.59,2458,Torrey Smith3
Victor Cruz,NYG,WR,1.00,1.00,2.00,329,27,2010,4,2013,28,25,1,14,122,25.00%,13.80,0.26,11.70,1.20,14.06,249.50,36.9%,16.9%,196.8,160.3,123.8,196.8,196.8,207.8,158.3,784,0.88,122,0.25,0,0,122,0.15,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,193.2,3.6,0,0,0,0,193.2,3.6,0,0,0,0.00%,NA,0,1,122,73,998,4,3.28%,13.7,8.2,0.25,1423,11.7,256,0.7,0.31,0.59,1679,Victor Cruz4
A.J. Green,CIN,WR,2.00,4.00,6.00,4,26,2011,4,2014,24,16,1,13,118,30.00%,14.85,1.25,13.00,1.29,16.10,173.83,44.3%,16.5%,209.3,174.8,140.3,209.3,209.3,222.3,170.8,649,0.76,116,0.3,2,0,118,0.15,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,193.1,16.2,0,0,1.3,-1.1,191.7,17.4,2,2,0,0.00%,1,0,2,116,69,1041,6,5.17%,15.1,9,0.3,1511,13,309,0.69,0.47,0.78,1820,A.J. Green4
Adam Thielen,MIN,WR,0.00,3.00,3.00,329,24,2013,2,2014,139,163,5,15,13,3.00%,1.35,0.09,13.60,0.14,1.45,0.00,3.8%,1.7%,21.7,17.7,13.7,21.7,21.7,21.7,17.7,150,0.16,13,0.03,0,0,13,0.01,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,20.3,1.4,0,0,0,0,20.3,7.4,0,0,0,0.00%,NA,0,0,13,8,137,0,0.00%,17.1,10.5,0.03,177,13.6,34,0.77,0.05,0.07,211,Adam Thielen2
Allen Hurns,JAC,WR,0.00,0.00,1.00,329,23,2014,1,2014,49,59,2,16,97,18.00%,9.38,0.29,10.80,0.74,9.67,112.83,39.6%,14.3%,154.7,129.2,103.7,154.7,154.7,160.7,129.2,788,0.76,97,0.18,0,0,97,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,150,4.7,0,0,0,0,150,4.7,0,0,0,0.00%,NA,0,0,97,51,677,6,6.19%,13.3,7,0.18,1046,10.8,207,0.65,0.27,0.45,1253,Allen Hurns1
Allen Robinson,JAC,WR,0.00,3.00,3.00,61,21,2014,1,2014,65,36,1,10,81,23.00%,12.68,-1.00,10.50,0.96,11.68,274.00,22.5%,11.9%,116.8,92.8,68.8,116.8,116.8,116.8,92.8,516,0.78,81,0.23,0,0,81,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,126.8,-10,0,0,0,0,126.8,-10,0,0,0,0.00%,NA,0,0,81,48,548,2,2.47%,11.4,6.8,0.23,852,10.5,158,0.64,0.33,0.57,1010,Allen Robinson1
Alshon Jeffery,CHI,WR,0.00,2.00,3.00,45,24,2012,3,2014,10,12,1,16,151,24.00%,15.67,0.68,10.90,1.21,16.35,116.60,44.7%,23.9%,261.6,219.1,176.6,261.6,261.6,270.6,219.1,957,0.9,145,0.24,6,0.02,151,0.16,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,250.7,10.9,0,0,3.6,-0.3,247.2,11.1,6,33,0,0.00%,5.5,0.02,0,145,85,1133,10,6.90%,13.3,7.8,0.24,1587,10.9,452,0.71,0.35,0.61,2039,Alshon Jeffery3
Antonio Brown,PIT,WR,6.00,6.00,7.00,195,26,2010,5,2014,1,2,1,16,187,30.00%,19.21,5.24,10.10,1.79,24.44,123.64,54.7%,26.8%,391.1,326.6,262.1,393.1,391.1,412.9,322.4,1061,0.95,181,0.3,4,0.01,185,0.18,20,2,2,1,1,0,10,147.9,9,9,1,4.5,307.3,83.8,4.9,0.2,2.6,-1.3,299.7,79.1,4,13,0,0.00%,3.2,0.01,2,181,129,1698,13,7.18%,13.2,9.4,0.3,1822,10.1,600,0.93,0.35,0.7,2422,Antonio Brown5
Brandin Cooks,NO,WR,0.00,1.00,5.00,20,21,2014,1,2014,56,22,1,10,76,17.00%,11.95,1.98,8.10,0.94,13.93,155.75,15.7%,11.1%,139.3,112.8,86.3,139.3,139.3,139.3,112.8,533,0.72,69,0.17,7,0.03,76,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,119.5,19.8,0,0,9.2,4.1,110.2,15.8,7,73,1,14.29%,10.4,0.03,0,69,53,550,3,4.35%,10.4,8,0.17,556,8.1,170,0.99,0.18,0.38,726,Brandin Cooks1
Brandon LaFell,NE,WR,0.00,0.00,1.00,78,28,2010,5,2014,22,27,2,16,121,20.00%,12.39,0.89,10.60,0.87,13.29,138.00,32.6%,15.1%,212.6,175.6,138.6,212.6,212.6,217.6,173.6,913,0.81,119,0.2,2,0,121,0.12,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,198.3,14.3,0,0,0.8,0.5,197.5,13.8,2,13,0,0.00%,6.5,0,1,119,74,953,7,5.88%,12.9,8,0.2,1265,10.6,368,0.75,0.26,0.48,1633,Brandon LaFell5
Davante Adams,GB,WR,2.00,3.00,5.00,53,22,2014,1,2014,75,89,3,16,66,12.00%,6.80,-0.51,10.30,0.46,6.29,148.67,14.0%,8.9%,100.6,81.6,62.6,100.6,100.6,103.6,81.6,738,0.7,66,0.12,0,0,66,0.07,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,108.8,-8.2,0,0,0,0,108.8,-8.2,0,0,0,0.00%,NA,0,0,66,38,446,3,4.55%,11.7,6.8,0.12,683,10.3,165,0.65,0.16,0.3,848,Davante Adams1
DeAndre Hopkins,HOU,WR,5.00,5.00,6.00,27,22,2013,2,2014,14,18,1,16,127,27.00%,12.33,2.24,12.80,1.18,14.56,201.67,50.9%,15.7%,233,195,157,233,233,244,193,1055,0.95,127,0.27,0,0,127,0.12,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,197.2,35.8,0,0,0,0,197.2,35.8,0,0,0,0.00%,NA,0,1,127,76,1210,6,4.72%,15.9,9.5,0.27,1627,12.8,373,0.74,0.42,0.69,2000,DeAndre Hopkins2
Demaryius Thomas,DEN,WR,3.00,4.00,6.00,22,27,2010,5,2014,2,3,1,16,184,31.00%,20.11,1.20,9.70,1.54,21.31,147.18,47.6%,22.5%,340.9,285.4,229.9,340.9,340.9,370.9,285.4,1023,0.91,184,0.31,0,0,184,0.18,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,321.7,19.2,0,0,0,0,321.7,19.2,0,0,0,0.00%,NA,0,0,184,111,1619,11,5.98%,14.6,8.8,0.31,1785,9.7,663,0.91,0.36,0.71,2448,Demaryius Thomas5
Dez Bryant,DAL,WR,2.00,3.00,5.00,24,26,2010,5,2014,4,6,1,16,137,29.00%,14.31,5.44,11.80,1.34,19.75,82.50,54.6%,18.4%,316,272,228,316,316,328,272,898,0.85,137,0.29,0,0,137,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,229,87,0,0,0,0,229,87,0,0,0,0.00%,NA,0,0,137,88,1320,16,11.68%,15,9.6,0.29,1621,11.8,436,0.81,0.39,0.71,2057,Dez Bryant5
Doug Baldwin,SEA,WR,0.00,2.00,3.00,329,26,2011,4,2014,44,51,1,16,99,23.00%,10.18,0.28,9.50,0.86,10.46,277.67,32.1%,15.5%,167.3,134.3,101.3,167.3,167.3,173.3,134.3,880,0.83,98,0.23,1,0,99,0.1,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,162.9,4.4,0,0,1,-0.2,161.9,4.6,1,8,0,0.00%,8,0,0,98,66,825,3,3.06%,12.5,8.4,0.23,927,9.5,314,0.89,0.25,0.51,1241,Doug Baldwin4
Emmanuel Sanders,DEN,WR,1.00,1.00,4.00,82,27,2010,5,2014,5,7,2,16,149,23.00%,15.22,3.64,12.40,1.38,18.86,160.89,40.6%,18.2%,301.8,251.3,200.8,301.8,301.8,322.8,251.3,1003,0.89,141,0.23,8,0.02,149,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,243.5,58.3,0,0,5.9,-1.5,237.7,59.7,8,44,0,0.00%,5.5,0.02,0,141,101,1404,9,6.38%,13.9,10,0.23,1747,12.4,377,0.8,0.35,0.59,2124,Emmanuel Sanders5
Eric Decker,NYJ,WR,0.00,2.00,3.00,87,27,2010,5,2014,26,26,1,15,115,25.00%,12.41,0.93,10.80,1.01,13.35,192.40,43.3%,15.3%,200.2,163.2,126.2,200.2,200.2,206.2,163.2,812,0.79,115,0.25,0,0,115,0.12,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,186.2,14,0,0,0,0,186.2,14,0,0,0,0.00%,NA,0,0,115,74,962,5,4.35%,13,8.4,0.25,1245,10.8,308,0.77,0.34,0.62,1553,Eric Decker5
Golden Tate,DET,WR,0.00,2.00,4.00,60,26,2010,5,2014,12,15,2,16,149,24.00%,14.76,1.43,7.70,1.36,16.19,340.25,40.2%,20.0%,259.1,209.6,160.1,259.1,259.1,274.1,209.6,925,0.85,144,0.24,5,0.01,149,0.15,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,236.2,22.9,0,0,3.6,-0.6,232.5,23.6,5,30,0,0.00%,6,0.01,0,144,99,1331,4,2.78%,13.4,9.2,0.24,1113,7.7,694,1.2,0.23,0.53,1807,Golden Tate5
Jarvis Landry,MIA,WR,1.00,3.00,5.00,63,22,2014,1,2014,30,35,2,16,114,19.00%,11.63,0.21,5.70,0.76,11.84,150.80,28.0%,16.2%,189.4,147.4,105.4,189.4,189.4,185.4,139.4,683,0.62,112,0.19,2,0.01,114,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,186,3.4,0,0,1.5,-1.9,184.5,5.3,2,-4,0,0.00%,-2,0.01,4,112,84,758,5,4.46%,9,6.8,0.19,635,5.7,402,1.19,0.14,0.38,1037,Jarvis Landry1
John Brown,ARI,WR,0.00,0.00,1.00,91,24,2014,1,2014,53,63,3,16,105,18.00%,9.91,-0.73,14.70,0.72,9.19,138.00,29.3%,14.5%,147,123,99,147,147,150,123,662,0.63,102,0.18,3,0.01,105,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,158.6,-11.6,0,0,1.4,-2,157.3,-9.7,3,-6,0,0.00%,-2,0.01,0,102,48,696,5,4.90%,14.5,6.8,0.18,1497,14.7,180,0.46,0.25,0.45,1677,John Brown1
Jordan Matthews,PHI,WR,0.00,0.00,1.00,42,22,2014,1,2014,25,31,2,16,103,17.00%,10.24,2.39,8.90,0.80,12.64,109.00,33.8%,13.1%,202.2,168.7,135.2,202.2,202.2,211.2,168.7,765,0.65,103,0.17,0,0,103,0.09,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,163.9,38.3,0,0,0,0,163.9,38.3,0,0,0,0.00%,NA,0,0,103,67,872,8,7.77%,13,8.5,0.17,913,8.9,377,0.96,0.16,0.37,1290,Jordan Matthews1
Josh Gordon,CLE,WR,1.00,1.00,1.00,329,23,2012,3,2014,105,46,1,5,48,32.00%,14.94,-4.08,11.50,1.10,10.86,0.00,8.4%,6.8%,54.3,42.3,30.3,54.3,54.3,57.3,42.3,233,0.78,47,0.32,0,0,47,0.17,0,1,0,0,0,0,0,39.6,0,0,NaN%,0,74.7,-20.4,0,0,0,0,74.7,-20.4,0,0,0,0.00%,NA,0,0,47,24,303,0,0.00%,12.6,6.4,0.32,539,11.5,161,0.56,0.4,0.76,700,Josh Gordon3
Julio Jones,ATL,WR,3.00,7.00,8.00,6,25,2011,4,2014,6,5,1,15,164,28.00%,17.70,2.26,12.10,1.69,19.96,265.67,44.2%,21.1%,299.4,247.4,195.4,299.4,299.4,319.4,245.4,868,0.85,163,0.28,1,0,164,0.17,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,265.5,33.9,0,0,0.5,-0.4,265,34.3,1,1,0,0.00%,1,0,1,163,104,1593,6,3.68%,15.3,9.8,0.28,1977,12.1,539,0.81,0.43,0.72,2516,Julio Jones4
