Name,Conference,DR,DP,Draft Year,Age IN DRAFT YEAR,Years Played,G,AVG PPG,rec,YARDS,YPR,REC/g,FINAL MS YARDS RK,College Dominator Rating,Yards Dominator,RecYds/TmPatt First,RecYds/TmPatt Best,RecYds/TmPatt Last,RecYds/TmPatt AVG,RecYds/TmPatt Above Team AVG First,RecYds/TmPatt Above Team AVG Best,RecYds/TmPatt Above Team AVG Last,RecYds/TmPatt Above Team AVG AVG,Dominator First Season,Dominator Best Season,Dominator Last Season,Dominator AVG Season,DOa First,DOa Best,DOa Last,DOa AVG,MS Yards First,MS Yards Best,MS Yards Last,MS Yards AVG,YOa First,YOa Best,YOa Last,YOa AVG,PPG Above conference expectation (Last Year),AVG S/EX (Yds Share Over Expectation),Last S/EX (Yds Share Over Expectation),TeamMate Score (TeamMate Over Expected),BMI Bucket,BMI,40 time,height,weight,Bench,Verticle,Broad,Shuttle,3 Cone,WaSS,HaSS,Hand Size,Arm Length,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,# of top  36 finishes,# of 1000 Rec yards seasons,AVG PPG (PPR) Season 1-3
Michael Clayton,11,1,15,2004,21,3,39,14.73714896,182,2582,14.18681319,4.67,1.00,0.34,0.30,1.83,2.69,2.69,2.28,1.25,2.15,2.15,1.75,0.27,0.34,0.33,0.32,0.07,0.01,0.09,0.06,0.21,0.33,0.38,0.31,0.03,0.04,0.14,0.07,3.56,0.03,0.06,0.05,26.00,26.30,4.62,74.75,209.00,10.00,32.50,116.00,4.09,6.77,91.75,94.89,9.13,32.38,0.00,0.00,1.00,1.00,1.00,9.03
Rashaun Woods,2,1,31,2004,23,4,45,20.56042395,293,4414,15.06484642,6.51,1.00,0.62,0.37,0.93,3.91,3.91,2.84,0.49,3.38,3.38,2.34,0.08,0.62,0.62,0.45,-0.18,0.27,0.27,0.13,0.15,0.53,0.53,0.49,-0.09,0.21,0.21,0.12,6.79,0.21,0.25,0.06,25.00,25.85,4.55,74.13,202.00,10.00,39.00,125.00,3.97,6.93,94.26,95.86,10.13,32.00,0.00,0.00,0.00,0.00,0.00,3.07
Darius Watts,7,2,54,2004,22,4,46,20.90958333,272,4031,14.81985294,5.91,1.00,0.42,0.24,1.28,2.97,2.57,2.15,0.75,2.38,1.97,1.59,0.21,0.41,0.41,0.32,0.01,0.08,0.14,0.05,0.17,0.33,0.34,0.26,-0.01,0.02,0.10,0.01,4.88,-0.03,0.03,0.03,24.00,24.55,4.50,73.38,188.00,10.00,35.90,121.75,4.25,6.96,97.68,95.79,9.40,31.97,0.00,0.00,0.00,0.00,0.00,3.68
Keary Colbert,9,2,62,2004,22,4,47,12.8575,205,2926,14.27317073,4.36,2.00,0.25,0.20,1.08,2.30,2.30,1.65,0.54,1.79,1.79,1.12,0.16,0.25,0.25,0.19,-0.05,-0.08,-0.05,-0.09,0.15,0.27,0.27,0.21,-0.03,-0.04,-0.03,-0.05,5.59,-0.08,0.07,0.10,27.00,27.40,4.60,72.88,207.00,10.00,30.00,121.75,4.25,6.96,97.68,95.79,9.40,31.97,0.00,0.00,0.00,0.00,0.00,5.43
Bernard Berrian,13,3,78,2004,23,4,36,15.79227335,177,2535,14.3220339,4.92,1.00,0.28,0.18,1.61,2.63,1.42,1.44,1.08,1.94,1.09,1.37,0.21,0.30,0.26,0.20,-0.04,-0.10,-0.02,-0.05,0.22,0.25,0.29,0.27,-0.02,-0.07,0.00,-0.03,-2.55,-0.01,-0.03,-0.04,24.00,24.14,4.62,73.00,183.00,10.00,38.00,128.00,4.18,7.34,80.69,79.58,9.50,30.50,0.00,0.00,0.00,3.00,0.00,6.86
Devard Darling,9,3,82,2004,22,3,27,12.19294872,106,1666,15.71698113,3.93,1.00,0.29,0.14,1.75,1.75,1.74,1.19,1.15,1.15,1.07,1.11,0.02,0.29,0.28,0.19,-0.03,-0.06,-0.03,-0.04,0.01,0.24,0.24,0.22,-0.08,-0.07,-0.07,-0.07,-1.08,-0.07,-0.06,-0.01,28.00,28.01,4.53,73.13,213.00,10.00,37.00,129.00,4.32,7.44,101.16,100.12,9.63,32.25,0.00,0.00,0.00,0.00,0.00,2.50
Jerricho Cotchery,0,4,108,2004,22,4,41,13.59878455,200,3119,15.595,4.88,1.00,0.32,0.19,1.25,2.77,2.77,1.72,0.71,2.19,2.19,1.69,0.01,0.35,0.29,0.21,-0.05,-0.04,0.03,-0.02,0.02,0.30,0.34,0.27,-0.06,-0.01,0.05,0.00,8.06,0.00,0.02,0.00,28.00,28.36,4.60,72.50,212.00,10.00,36.00,121.00,3.91,6.93,95.11,92.53,9.50,31.00,0.00,0.00,2.00,4.00,1.00,6.41
Devery Henderson,11,2,50,2004,22,4,39,8.791696429,81,1335,16.48148148,2.08,2.00,0.35,0.11,0.07,2.15,2.15,0.90,-0.52,1.61,1.61,0.35,0.00,0.36,0.32,0.17,-0.20,-0.02,0.04,-0.11,0.01,0.26,0.26,0.24,-0.17,-0.04,-0.04,-0.13,4.42,-0.03,0.08,0.05,27.00,27.23,4.41,71.50,198.00,10.00,35.90,121.75,4.25,6.96,97.68,95.79,9.40,31.97,0.00,0.00,0.00,0.00,0.00,8.80
Samie Parker,9,4,105,2004,23,4,43,11.7568109,169,2599,15.37869822,3.93,1.00,0.32,0.20,0.51,2.55,2.55,1.64,-0.04,2.10,2.10,1.10,0.04,0.31,0.31,0.20,-0.22,-0.05,-0.05,-0.12,0.07,0.33,0.33,0.27,-0.17,0.01,0.01,-0.07,2.19,-0.03,0.04,0.03,25.00,25.41,4.37,70.38,179.00,10.00,36.00,121.75,4.25,6.96,98.17,89.98,8.88,28.25,0.00,0.00,0.00,0.00,0.00,9.35
Johnnie Morant,3,5,134,2004,22,3,31,9.128148148,88,1535,17.44318182,2.84,1.00,0.43,0.21,1.64,2.58,2.58,1.73,1.02,2.00,2.00,1.18,0.21,0.43,0.43,0.24,-0.04,0.10,0.10,-0.06,0.22,0.37,0.37,0.24,-0.02,0.06,0.06,-0.03,-0.60,-0.04,0.09,0.03,27.00,27.87,4.55,76.00,229.00,10.00,41.00,121.75,4.22,7.34,107.33,114.75,9.38,34.38,0.00,0.00,0.00,0.00,0.00,2.19
Triandos Luke,11,6,171,2004,22,4,32,6.394886364,90,1072,11.91111111,2.81,3.00,0.21,0.12,0.59,1.56,1.12,0.82,-0.06,1.03,0.69,0.55,0.00,0.20,0.20,0.13,-0.12,-0.13,-0.12,-0.13,0.00,0.17,0.19,0.18,-0.16,-0.13,-0.09,-0.13,-0.76,-0.09,0.04,-0.01,27.00,27.75,4.41,71.00,199.00,15.00,38.25,124.00,4.17,7.06,105.71,98.63,9.00,34.00,0.00,0.00,0.00,0.00,0.00,5.60
Andre Johnson,3,1,3,2003,22,3,26,12.6510101,92,1831,19.90217391,3.54,1.00,0.32,0.16,2.01,2.53,2.53,1.57,1.38,2.03,2.03,1.71,0.03,0.33,0.29,0.22,0.01,-0.04,0.01,-0.02,0.02,0.30,0.30,0.27,-0.04,-0.01,-0.01,-0.03,4.17,-0.01,0.01,-0.01,29.00,29.53,4.46,74.00,230.00,10.00,40.00,130.50,4.15,6.96,116.26,117.83,9.13,34.00,2.00,6.00,8.00,10.00,7.00,12.96
Tyrone Calico,12,2,60,2003,22,3,33,12.39070707,129,1941,15.04651163,3.91,1.00,0.50,0.25,2.05,2.37,2.37,2.10,1.40,1.85,1.85,1.55,0.25,0.50,0.50,0.33,0.00,0.16,0.16,0.02,0.29,0.33,0.33,0.28,0.05,0.02,0.05,0.00,-3.06,0.00,0.05,0.02,27.00,27.32,4.42,75.75,223.00,10.00,38.00,127.00,4.26,6.73,116.85,124.11,9.63,34.38,0.00,0.00,0.00,0.00,0.00,4.49
Anquan Boldin,0,2,54,2003,22,2,26,15.37440476,106,1675,15.80188679,4.08,1.00,0.41,0.23,1.42,2.42,2.42,1.92,0.87,1.95,1.95,1.41,0.16,0.41,0.41,0.28,-0.10,0.08,0.08,-0.01,0.14,0.34,0.34,0.24,-0.09,0.04,0.04,-0.03,4.74,-0.03,0.06,0.03,28.00,28.79,4.71,72.63,216.00,10.00,33.50,114.00,4.33,7.35,87.78,85.69,9.88,30.00,3.00,3.00,9.00,11.00,5.00,17.67
Bethel Johnson,2,2,45,2003,24,3,13,10.27272727,90,1226,13.62222222,6.92,2.00,0.28,0.14,1.24,1.69,1.69,1.04,0.72,1.06,1.06,0.89,0.09,0.28,0.28,0.13,-0.25,-0.10,-0.10,-0.18,0.17,0.22,0.22,0.20,-0.14,-0.18,-0.14,-0.16,2.70,-0.09,0.03,0.02,28.00,28.03,4.39,71.00,201.00,17.00,38.50,127.00,4.25,6.96,108.73,101.45,8.50,31.25,0.00,0.00,0.00,0.00,0.00,4.10
Nate Burleson,13,3,71,2003,22,3,33,21.70555556,248,3287,13.25403226,7.52,1.00,0.47,0.33,1.29,1.98,1.98,1.48,1.01,1.67,1.67,1.19,0.41,0.45,0.45,0.36,0.21,0.13,0.21,0.10,0.31,0.46,0.46,0.35,0.13,0.17,0.17,0.11,16.92,0.06,0.17,0.12,26.00,26.35,4.51,72.50,197.00,10.00,42.50,126.00,4.16,6.96,95.23,92.65,9.25,34.13,0.00,0.00,1.00,3.00,0.00,8.47
Brandon Lloyd,4,4,124,2003,22,2,23,18.73371212,125,2016,16.128,5.43,1.00,0.33,0.29,2.63,2.63,2.23,2.43,1.91,1.91,1.61,1.76,0.33,0.33,0.32,0.33,0.01,-0.01,0.01,0.00,0.33,0.30,0.33,0.32,0.04,-0.01,0.04,0.02,3.60,0.02,0.00,0.03,24.00,24.87,4.63,72.13,184.00,10.00,36.00,121.75,4.25,6.96,80.08,77.10,9.00,31.25,1.00,1.00,1.00,3.00,1.00,7.89
Sam Aiken,0,4,127,2003,22,3,34,13.11777778,143,2179,15.23776224,4.21,1.00,0.28,0.24,1.26,2.30,2.30,1.92,0.73,1.77,1.77,1.32,0.22,0.30,0.25,0.26,-0.03,-0.08,-0.02,-0.05,0.16,0.31,0.31,0.25,-0.08,0.00,0.00,-0.03,1.92,-0.03,0.03,0.00,26.00,26.92,4.65,73.88,209.00,10.00,39.50,121.00,4.25,7.22,89.41,90.31,10.00,31.25,0.00,0.00,0.00,0.00,0.00,1.64
Bobby Wade,9,5,139,2003,22,3,33,18.13550505,200,2897,14.485,6.06,1.00,0.44,0.36,2.33,3.24,3.24,2.65,1.75,2.70,2.70,2.12,0.35,0.44,0.44,0.38,0.10,0.10,0.10,0.08,0.37,0.40,0.40,0.36,0.13,0.09,0.13,0.09,7.69,0.07,0.11,0.04,27.00,27.50,4.66,70.25,193.00,10.00,34.50,115.00,4.11,7.01,81.85,74.77,9.75,31.50,0.00,0.00,0.00,0.00,0.00,3.62
Doug Gabriel,7,5,167,2003,23,2,20,20.19583333,97,1869,19.26804124,4.85,1.00,0.36,0.22,0.83,1.32,1.32,1.08,0.55,1.05,1.05,0.80,0.31,0.34,0.34,0.32,-0.01,0.01,0.01,0.00,0.19,0.32,0.32,0.32,-0.10,0.02,0.02,-0.04,7.38,0.02,0.02,0.03,27.00,27.16,4.54,74.25,213.00,10.00,35.50,116.00,4.16,7.05,100.27,102.32,9.88,32.50,0.00,0.00,0.00,0.00,0.00,5.44
Keenan Howry,9,7,221,2003,22,3,35,13.8486014,136,2154,15.83823529,3.89,1.00,0.26,0.24,1.84,1.94,1.91,1.89,1.28,1.43,1.43,1.32,0.25,0.29,0.23,0.26,0.00,-0.10,0.00,-0.04,0.25,0.26,0.26,0.26,0.02,-0.04,0.02,-0.02,-3.64,-0.04,-0.03,0.02,25.00,25.82,4.58,69.63,178.00,10.00,31.50,114.00,4.28,7.34,80.91,72.59,8.88,29.25,0.00,0.00,0.00,0.00,0.00,2.40
Walter Young,4,7,226,2003,23,3,31,12.28042929,128,1947,15.2109375,4.13,2.00,0.24,0.20,1.12,1.86,1.84,1.61,0.51,1.21,1.21,0.96,0.08,0.24,0.24,0.19,-0.23,-0.12,-0.09,-0.15,0.17,0.25,0.25,0.24,-0.12,-0.08,-0.07,-0.09,3.89,-0.05,0.05,0.03,25.00,25.63,4.52,76.63,214.00,10.00,39.00,121.00,4.25,6.90,102.54,111.43,10.63,35.00,0.00,0.00,0.00,0.00,0.00,0.00
Talman Gardner,0,7,231,2003,23,3,30,10.8729304,83,1472,17.73493976,2.77,2.00,0.29,0.15,0.42,2.00,1.50,1.31,-0.12,1.35,1.03,0.75,0.02,0.32,0.25,0.20,-0.30,-0.10,-0.01,-0.14,0.04,0.21,0.22,0.22,-0.25,-0.11,-0.08,-0.15,0.49,-0.06,0.03,0.03,27.00,27.33,4.45,72.63,205.00,10.00,34.50,116.00,4.43,7.54,104.55,102.07,8.13,30.25,0.00,0.00,0.00,0.00,0.00,2.39
