Name,Conference,DR,DP,Draft Year,Age IN DRAFT YEAR,Years Played,G,AVG PPG,rec,YARDS,YPR,REC/g,FINAL MS YARDS RK,College Dominator Rating,Yards Dominator,RecYds/TmPatt First,RecYds/TmPatt Best,RecYds/TmPatt Last,RecYds/TmPatt AVG,RecYds/TmPatt Above Team AVG First,RecYds/TmPatt Above Team AVG Best,RecYds/TmPatt Above Team AVG Last,RecYds/TmPatt Above Team AVG AVG,Dominator First Season,Dominator Best Season,Dominator Last Season,Dominator AVG Season,DOa First,DOa Best,DOa Last,DOa AVG,MS Yards First,MS Yards Best,MS Yards Last,MS Yards AVG,YOa First,YOa Best,YOa Last,YOa AVG,PPG Above conference expectation (Last Year),AVG S/EX (Yds Share Over Expectation),Last S/EX (Yds Share Over Expectation),TeamMate Score (TeamMate Over Expected),BMI Bucket,BMI,40 time,height,weight,Bench,Verticle,Broad,Shuttle,3 Cone,WaSS,HaSS,Hand Size,Arm Length,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,# of top  36 finishes,# of 1000 Rec yards seasons,AVG PPG (PPR) Season 1-3
Terry McLaurin,4,3,76,2019,23,3,32,9.348316498,74,1219,16.47297297,2.3125,3,0.18,0.09,0.2800982801,1.276717557,1.276717557,0.8507498758,-0.1469594595,0.7323753929,0.7323753929,0.3524826323,0.059,0.184,0.184,0.126,-0.26,-0.17,-0.17,-0.21,0.04,0.14,0.14,0.10,-0.25,-0.18,-0.18,-0.21,6.356521341,-0.18,0.00,-0.03,28,28.11188645,4.35,72.125,208,18,37.5,125,4.15,7.01,116.181319,111.8629101,9.125,31.5,0,0,0,1,0,13.71
Kelvin Harmon,0,6,206,2019,21,3,35,15.1434188,177,2665,15.05649718,5.057142857,1,0.30,0.22,1.054794521,2.556034483,2.556034483,1.904022891,0.4599578504,2.024784483,2.024784483,1.352745673,0.193,0.296,0.296,0.250,-0.01,-0.02,0.01,-0.01,0.14,0.30,0.30,0.24,-0.05,0.01,0.05,0.00,6.132175037,-0.03,0.03,0.03,27,27.99484295,4.6,74.5,221,18,32.5,117,4.32,7.15,98.71677131,101.4109415,9.5,32.5,0,0,0,0,0,5.06
DK Metcalf,11,2,64,2019,21,3,21,11.97063492,67,1228,18.32835821,3.19,3.00,0.20,0.09,1.49,1.49,1.29,0.94,0.79,0.79,0.57,0.68,0.04,0.21,0.19,0.14,-0.05,-0.13,-0.05,-0.09,0.00,0.14,0.16,0.16,-0.07,-0.15,-0.07,-0.11,4.87,-0.10,0.00,0.03,28.00,28.21,4.33,75.38,228.00,27.00,40.50,134.00,4.50,7.38,129.72,136.41,9.88,34.88,0.00,0.00,0.00,1.00,0.00,11.53
Deebo Samuel,11,2,36,2019,23,4,29,17.23854167,148,2076,14.02702703,5.10,1.00,0.30,0.16,1.95,1.99,1.99,1.26,1.52,1.55,1.55,1.53,0.06,0.30,0.30,0.17,-0.14,-0.06,-0.06,-0.10,0.06,0.25,0.28,0.27,-0.01,-0.07,-0.01,-0.04,4.20,0.00,-0.01,0.04,29.00,29.64,4.48,71.25,214.00,15.00,39.00,122.00,4.14,7.03,106.25,99.83,10.00,31.38,0.00,0.00,0.00,1.00,0.00,11.91
Mecole Hardman,11,2,56,2019,22,2,26,9.096153846,59,958,16.23728814,2.27,1.00,0.19,0.16,1.38,1.68,1.68,1.53,0.83,1.19,1.19,1.01,0.16,0.19,0.19,0.17,-0.16,-0.15,-0.15,-0.15,0.16,0.18,0.18,0.17,-0.13,-0.12,-0.12,-0.13,-4.60,-0.09,-0.08,-0.02,26.00,26.64,4.33,70.25,187.00,17.00,36.50,119.00,4.25,6.96,106.39,97.18,9.00,30.25,0.00,0.00,0.00,0.00,0.00,8.11
Travis Fulgham,5,6,184,2019,23,4,39,9.938636364,128,2044,15.96875,3.282051282,1,0.37,0.15,1.278074866,2.260960334,2.260960334,1.555991676,0.735828877,1.922565952,1.922565952,1.14174288,0.017,0.366,0.366,0.186,-0.13,-0.02,-0.02,-0.12,0.03,0.30,0.30,0.22,-0.15,-0.10,-0.10,-0.13,4.256604886,-0.06,0.02,0.06,27,27.23480197,4.58,74.5,215,15,36.5,126,4.25149061,6.964760192,97.72519452,100.3920643,9.5,33.75,0,0,0,0,0,0
DJ Moore,4,1,24,2018,21,3,36,12.96970668,146,2027,13.88356164,4.055555556,1,0.53,0.30,0.9224806202,3.248427673,3.248427673,2.012981161,0.584625323,2.693825043,2.693825043,1.573633015,0.185,0.533,0.533,0.352,-0.02,0.21,0.21,0.09,0.17,0.53,0.53,0.33,-0.01,0.24,0.24,0.09,6.208148502,0.04,0.26,0.09,28,28.48082788,4.42,72,210,15,39.5,132,4.07,6.95,110.0424404,105.5851635,9,31.625,0,1,1,1,1,12.685
Courtland Sutton,1,2,40,2018,22,4,38,15.52203526,195,3220,16.51282051,5.131578947,2,0.37,0.23,2.374655647,2.73245614,2.237113402,1.851753972,1.859110586,2.236215539,1.744458763,1.946594963,0.007,0.424,0.313,0.286,0.15,-0.02,0.15,0.08,0.01,0.28,0.39,0.34,0.09,-0.02,0.10,0.06,7.527058101,0.04,0.08,0.07,27,27.06710405,4.54,75.25,218,18,35.25,125,4.25149061,6.57,102.6273412,107.5618498,9.75,32.375,0,0,1,1,1,11.545
Parris Campbell,4,2,59,2019,22,3,34,11.26698718,131,1686,12.87022901,3.85,1.00,0.22,0.13,0.30,1.89,1.89,1.17,-0.13,1.35,1.35,0.67,0.02,0.22,0.22,0.12,-0.23,-0.12,-0.12,-0.18,0.04,0.20,0.20,0.18,-0.19,-0.10,-0.10,-0.14,4.94,-0.10,-0.07,-0.03,27.00,27.90,4.31,71.88,205.00,11.00,40.00,135.00,4.03,6.96,118.82,113.61,9.50,32.25,0.00,0.00,0.00,0.00,0.00,5.73
Diontae Johnson,7,3,66,2019,23,3,48,10.74102564,135,2235,16.55555556,2.81,1.00,0.32,0.20,0.48,3.02,1.93,1.81,0.02,2.44,1.43,1.29,0.07,0.40,0.25,0.24,-0.18,-0.11,0.06,-0.07,0.06,0.26,0.33,0.29,-0.17,-0.06,0.02,-0.07,-7.72,0.00,-0.03,0.02,25.00,25.89,4.53,70.50,183.00,15.00,33.50,123.00,4.45,6.96,86.91,79.95,9.00,30.75,0.00,0.00,0.00,0.00,0.00,10.06
James Washington,2,2,60,2018,22,4,51,17.875,226,4472,19.78761062,4.431372549,1,0.33,0.22,1.14,3.079522863,3.079522863,2.323463486,0.6761764706,2.464635603,2.305551308,1.771168569,0.230,0.336,0.329,0.289,0.03,0.00,0.03,0.01,0.14,0.31,0.33,0.25,-0.04,0.00,0.04,0.00,6.727279815,-0.02,0.02,0.03,29,29.70716534,4.545,71,213,14,36.75,121,4.32,7.11,99.8329832,93.14647192,9.75,32.375,0,0,0,0,0,6.4
Christian Kirk,11,2,47,2018,21,3,39,17.63076923,234,2856,12.20512821,6,1,0.37,0.29,2.093360996,2.093360996,2.046770601,2.039603212,1.662344398,1.662344398,1.527203309,1.575398276,0.292,0.368,0.368,0.327,0.09,0.05,0.09,0.07,0.30,0.28,0.30,0.29,0.12,-0.01,0.12,0.05,3.0708722,0.02,0.02,0.02,28,28.63529803,4.47,70.25,201,20,35.5,115,4.45,7.09,100.6922303,91.97315272,9.875,30.375,0,0,0,0,0,11.585
Michael Gallup,8,3,81,2018,22,2,26,22.01923077,176,2690,15.28409091,6.769230769,1,0.37,0.37,3.523545706,3.523545706,3.089324619,3.306435163,2.973684211,2.973684211,2.451650746,2.712667478,0.442,0.442,0.307,0.374,0.12,-0.03,0.12,0.05,0.40,0.37,0.40,0.39,0.11,0.07,0.11,0.09,7.209773088,0.10,0.09,0.00,27,27.4205496,4.505,72.5,205,10,36,125,4.47,7.045,99.54161336,96.84048655,9.25,31.5,0,0,0,1,1,10.05
Anthony Miller,1,2,51,2018,23,3,38,22.23589744,238,3590,15.08403361,6.263157895,1,0.41,0.27,1.492473118,3.006289308,2.995901639,2.498221355,0.9552419355,2.545422781,2.358460187,1.953041635,0.170,0.399,0.399,0.319,-0.15,0.04,0.05,-0.02,0.17,0.34,0.36,0.29,-0.12,0.01,0.06,-0.02,10.57801535,-0.01,0.02,-0.01,27,27.96783151,4.55,71.08333333,201,22,39,125,4.31,6.7,93.79516818,87.71801614,10,31.625,0,0,0,0,0,8.865
Miles Boykin,6,3,93,2019,22,3,25,8.667106227,77,1206,15.66233766,3.08,1.00,0.30,0.12,0.72,2.09,2.09,1.01,0.31,1.51,1.51,0.91,0.03,0.30,0.30,0.15,-0.21,-0.03,-0.03,-0.12,0.03,0.26,0.26,0.26,-0.18,-0.05,-0.05,-0.11,1.03,-0.03,-0.02,0.01,26.00,26.96,4.42,75.75,220.00,12.00,43.50,140.00,4.07,6.77,115.28,122.44,9.88,33.50,0.00,0.00,0.00,0.00,0.00,4.62
Antonio Callaway,11,4,105,2018,21,2,25,11.49519231,89,1399,15.71910112,3.56,1,0.22,0.22,1.678217822,1.758536585,1.758536585,1.718377204,1.300156331,1.300156331,1.269512195,1.284834263,0.217,0.217,0.212,0.214,0.02,-0.04,0.02,-0.01,0.23,0.26,0.26,0.25,0.05,0.02,0.05,0.04,-1.538743185,-0.02,-0.01,-0.03,28,28.35811616,4.41,70.41666667,200,7,34,121,4.38,7.05,105.7561503,97.05763666,9.5,31.5,0,0,0,0,0,5.995
Terry McLaurin,4,3,76,2019,23,3,32,9.348316498,74,1219,16.47297297,2.31,3.00,0.18,0.09,0.28,1.28,1.28,0.85,-0.15,0.73,0.73,0.35,0.06,0.18,0.18,0.13,-0.26,-0.17,-0.17,-0.21,0.04,0.14,0.14,0.10,-0.25,-0.18,-0.18,-0.21,6.36,-0.18,0.00,-0.03,28.00,28.11,4.35,72.13,208.00,18.00,37.50,125.00,4.15,7.01,116.18,111.86,9.13,31.50,0.00,0.00,0.00,1.00,0.00,13.71
Kelvin Harmon,0,6,206,2019,21,3,35,15.1434188,177,2665,15.05649718,5.06,1.00,0.30,0.22,1.05,2.56,2.56,1.90,0.46,2.02,2.02,1.35,0.19,0.30,0.30,0.25,-0.01,-0.02,0.01,-0.01,0.14,0.30,0.30,0.24,-0.05,0.01,0.05,0.00,6.13,-0.03,0.03,0.03,27.00,27.99,4.60,74.50,221.00,18.00,32.50,117.00,4.32,7.15,98.72,101.41,9.50,32.50,0.00,0.00,0.00,0.00,0.00,5.06
KeeSean Johnson,8,6,174,2019,22,4,51,14.65454545,275,3463,12.59272727,5.39,1.00,0.37,0.28,0.84,3.05,3.05,2.03,0.43,2.48,2.48,1.54,0.13,0.38,0.33,0.30,-0.07,0.00,0.13,0.03,0.16,0.36,0.36,0.28,-0.02,0.05,0.06,0.03,5.12,-0.01,0.07,0.01,26.00,26.43,4.60,73.13,201.00,14.00,30.00,117.00,4.23,7.28,89.78,88.86,9.50,32.00,0.00,0.00,0.00,0.00,0.00,4.80
DaeSean Hamilton,4,4,113,2018,23,4,51,11.84326923,214,2842,13.28037383,4.196078431,1,0.28,0.22,1.8125,1.871179039,1.871179039,1.605080223,1.200806452,1.343730505,1.343730505,1.025012524,0.225,0.267,0.267,0.208,-0.03,-0.09,-0.03,-0.11,0.30,0.25,0.30,0.22,0.06,-0.07,0.06,-0.06,0.7007767072,-0.06,-0.02,0.00,27,27.21556059,4.57,72.41666667,203,16,34.5,120.5,4.15,6.84,93.08104134,90.34689981,9.375,31,0,0,0,0,0,7.075
Riley Ridley,11,4,126,2019,23,3,26,8.819230769,64,954,14.90625,2.46,2.00,0.23,0.11,0.72,1.55,1.55,0.96,0.17,1.06,1.06,0.62,0.11,0.23,0.23,0.14,-0.25,-0.13,-0.13,-0.19,0.09,0.17,0.17,0.17,-0.22,-0.15,-0.15,-0.19,-0.11,-0.10,-0.02,-0.02,26.00,26.08,4.58,73.25,199.00,13.00,30.50,124.00,4.28,7.22,90.45,89.83,10.25,32.63,0.00,0.00,0.00,0.00,0.00,2.25
Darius Slayton,11,5,171,2019,22,3,29,10.12683983,79,1605,20.3164557,2.72,1.00,0.23,0.15,1.02,1.76,1.76,1.49,0.54,1.38,1.38,1.02,0.11,0.23,0.23,0.19,-0.14,-0.10,-0.10,-0.12,0.13,0.23,0.23,0.21,-0.11,-0.08,-0.08,-0.09,-2.42,-0.05,-0.03,0.01,25.00,25.07,4.39,73.00,190.00,11.00,40.50,135.00,4.15,7.00,102.31,100.91,10.00,32.75,0.00,0.00,0.00,0.00,0.00,12.38
Trey Quinn,1,7,256,2018,22,3,26,10.60377493,136,1512,11.11764706,5.230769231,1,0.35,0.17,0.704379562,2.548453608,2.548453608,1.184157386,0.1097697923,2.055798969,2.055798969,1.082784381,0.046,0.347,0.347,0.137,-0.16,0.01,0.01,-0.07,0.09,0.32,0.32,0.21,-0.09,0.02,0.02,-0.04,7.643399969,-0.09,0.01,-0.01,28,28.11412736,4.525,71.25,203,17,32,116,4.215,6.975,96.83931291,90.99033138,10.125,30.75,0,0,0,0,0,7.855
Travis Fulgham,5,6,184,2019,23,4,39,9.938636364,128,2044,15.96875,3.28,1.00,0.37,0.15,1.28,2.26,2.26,1.56,0.74,1.92,1.92,1.14,0.02,0.37,0.37,0.19,-0.13,-0.02,-0.02,-0.12,0.03,0.30,0.30,0.22,-0.15,-0.10,-0.10,-0.13,4.26,-0.06,0.02,0.06,27.00,27.23,4.58,74.50,215.00,15.00,36.50,126.00,4.25,6.96,97.73,100.39,9.50,33.75,0.00,0.00,0.00,0.00,0.00,0.00
Auden Tate,0,7,253,2018,21,2,22,11.545,65,957,14.72307692,2.954545455,2,0.35,0.16,0.9714964371,1.593023256,1.593023256,1.282259846,0.2919635788,1.156805746,1.156805746,0.7243846622,0.190,0.346,0.346,0.268,-0.06,0.03,0.03,-0.02,0.12,0.21,0.21,0.17,-0.12,-0.07,-0.07,-0.10,1.276435077,-0.10,0.02,-0.01,27,27.33157278,4.695,76.58333333,228,10,31,112,4.63,7.42,93.84744561,101.8767588,9.375,33.75,0,0,0,0,0,5.15
DJ Moore,4,1,24,2018,21,3,36,12.96970668,146,2027,13.88356164,4.06,1.00,0.53,0.30,0.92,3.25,3.25,2.01,0.58,2.69,2.69,1.57,0.19,0.53,0.53,0.35,-0.02,0.21,0.21,0.09,0.17,0.53,0.53,0.33,-0.01,0.24,0.24,0.09,6.21,0.04,0.26,0.09,28.00,28.48,4.42,72.00,210.00,15.00,39.50,132.00,4.07,6.95,110.04,105.59,9.00,31.63,0.00,1.00,1.00,1.00,1.00,12.69
Javon Wims,11,7,224,2018,23,2,22,8.303571429,62,910,14.67741935,2.818181818,1,0.28,0.17,0.4935064935,2.376237624,2.376237624,1.434872059,0.1092436975,1.82900165,1.82900165,0.9691226738,0.069,0.282,0.282,0.175,-0.26,-0.08,-0.08,-0.17,0.08,0.27,0.27,0.27,-0.23,-0.05,-0.05,-0.14,-2.956600328,0.01,0.01,0.02,27,27.17397608,4.555,74.58333333,215,10,33.5,113.5,4.58,7,99.88837094,102.8440451,9.25,31.5,0,0,0,0,0,1.865
Courtland Sutton,1,2,40,2018,22,4,38,15.52203526,195,3220,16.51282051,5.13,2.00,0.37,0.23,2.37,2.73,2.24,1.85,1.86,2.24,1.74,1.95,0.01,0.42,0.31,0.29,0.15,-0.02,0.15,0.08,0.01,0.28,0.39,0.34,0.09,-0.02,0.10,0.06,7.53,0.04,0.08,0.07,27.00,27.07,4.54,75.25,218.00,18.00,35.25,125.00,4.25,6.57,102.63,107.56,9.75,32.38,0.00,0.00,1.00,1.00,1.00,11.55
DJ Chark,11,2,61,2018,21,3,24,12.85934343,66,1351,20.46969697,2.75,1.00,0.27,0.23,1.56,2.91,2.91,1.51,1.05,2.33,2.33,1.69,0.00,0.25,0.25,0.16,-0.03,-0.07,-0.03,-0.05,0.01,0.33,0.33,0.27,-0.03,0.04,0.04,0.00,-1.17,0.00,0.07,-0.02,25.00,25.15,4.34,74.58,199.00,16.00,40.00,129.00,4.25,6.96,112.18,115.50,9.25,32.38,0.00,0.00,1.00,1.00,0.00,9.55
JuJu Smith-Schuster,10,2,62,2017,20,3,40,16.78315018,213,3092,14.51643192,5.325,1,0.32,0.25,1.573913043,3.147186147,1.986956522,2.236018571,0.92909699,2.693121693,1.525063939,1.715760874,0.158,0.359,0.278,0.265,-0.04,-0.04,0.11,0.01,0.19,0.25,0.39,0.28,0.01,-0.04,0.15,0.04,0.8381930902,0.01,0.00,0.01,28,28.07634296,4.54,73.375,215,15,33,121.5,4.24,6.98,101.2150384,100.8603759,10.5,32.875,0,1,1,2,1,14.14333333
Calvin Ridley,11,1,26,2018,23,3,44,14.21714286,224,2781,12.41517857,5.09,1.00,0.31,0.30,2.34,2.90,2.90,2.36,1.87,2.43,2.43,1.89,0.31,0.31,0.28,0.28,-0.01,-0.07,-0.01,-0.05,0.31,0.37,0.37,0.31,0.02,0.05,0.05,0.00,-0.64,0.04,0.11,-0.01,25.00,25.40,4.43,72.33,189.00,15.00,31.00,110.00,4.41,6.88,98.15,95.04,9.13,31.63,0.00,0.00,2.00,2.00,0.00,14.06
Curtis Samuel,4,2,40,2017,21,2,26,15.75769231,96,1154,12.02083333,3.692307692,1,0.29,0.21,0.8919753086,2.125307125,2.125307125,1.508641217,0.2608024691,1.698249386,1.698249386,0.9795259274,0.112,0.290,0.290,0.201,-0.09,0.04,0.04,-0.03,0.12,0.31,0.31,0.21,-0.06,0.07,0.07,0.00,11.05029207,-0.07,0.03,0.00,27,27.62723724,4.31,70.625,196,18,37,119,4.33,7.09,113.5996482,104.873922,9.5,31.25,0,0,0,1,0,8.86
James Washington,2,2,60,2018,22,4,51,17.875,226,4472,19.78761062,4.43,1.00,0.33,0.22,1.14,3.08,3.08,2.32,0.68,2.46,2.31,1.77,0.23,0.34,0.33,0.29,0.03,0.00,0.03,0.01,0.14,0.31,0.33,0.25,-0.04,0.00,0.04,0.00,6.73,-0.02,0.02,0.03,29.00,29.71,4.55,71.00,213.00,14.00,36.75,121.00,4.32,7.11,99.83,93.15,9.75,32.38,0.00,0.00,0.00,0.00,0.00,6.40
Chris Godwin,4,3,84,2017,21,3,39,12.96153846,154,2421,15.72077922,3.948717949,1,0.36,0.24,0.6814516129,2.732009926,2.517948718,1.977136752,0.06975806452,2.270802316,1.798027613,1.379529331,0.133,0.324,0.324,0.260,-0.07,0.00,0.07,0.00,0.11,0.27,0.39,0.26,-0.07,-0.02,0.16,0.02,3.119522837,-0.02,-0.01,0.00,27,27.57394298,4.42,73,209,19,36,126,4,7.01,109.5184287,108.0218696,9.125,31.625,1,1,1,2,1,11.71
Taywan Taylor,5,3,72,2017,22,4,50,17.41369048,253,4234,16.73517787,5.06,1,0.39,0.20,0.6633906634,3.673036093,3.673036093,2.09156235,0.1116181116,2.957992114,2.957992114,1.471620014,0.043,0.386,0.386,0.222,-0.16,0.05,0.05,-0.05,0.09,0.37,0.37,0.22,-0.10,0.06,0.06,-0.03,12.14262752,-0.05,0.09,0.05,28,28.31246274,4.5,71,203,13,35.5,132,4.21,6.57,99.00929736,92.37754344,9.25,32.625,0,0,0,0,0,3.496666667
Christian Kirk,11,2,47,2018,21,3,39,17.63076923,234,2856,12.20512821,6.00,1.00,0.37,0.29,2.09,2.09,2.05,2.04,1.66,1.66,1.53,1.58,0.29,0.37,0.37,0.33,0.09,0.05,0.09,0.07,0.30,0.28,0.30,0.29,0.12,-0.01,0.12,0.05,3.07,0.02,0.02,0.02,28.00,28.64,4.47,70.25,201.00,20.00,35.50,115.00,4.45,7.09,100.69,91.97,9.88,30.38,0.00,0.00,0.00,0.00,0.00,11.59
Michael Gallup,8,3,81,2018,22,2,26,22.01923077,176,2690,15.28409091,6.77,1.00,0.37,0.37,3.52,3.52,3.09,3.31,2.97,2.97,2.45,2.71,0.44,0.44,0.31,0.37,0.12,-0.03,0.12,0.05,0.40,0.37,0.40,0.39,0.11,0.07,0.11,0.09,7.21,0.10,0.09,0.00,27.00,27.42,4.51,72.50,205.00,10.00,36.00,125.00,4.47,7.05,99.54,96.84,9.25,31.50,0.00,0.00,0.00,1.00,1.00,10.05
Ardarius Stewart,11,3,79,2017,23,3,32,10.78555556,129,1713,13.27906977,4.03125,1,0.29,0.16,1.569506726,2.071942446,2.071942446,1.324186761,1.091647982,1.599220624,1.599220624,1.345434303,0.019,0.291,0.291,0.168,-0.14,-0.07,-0.07,-0.10,0.04,0.27,0.27,0.24,-0.10,-0.05,-0.05,-0.07,2.011521357,-0.03,0.01,0.04,28,28.35201408,4.49,71.125,204,10,34,123,4.25149061,6.964760192,100.3863813,93.99259454,9.375,32.5,0,0,0,0,0,1.41
Amara Darboh,4,3,106,2017,23,3,37,11.76223776,151,2062,13.65562914,4.081081081,1,0.33,0.24,1.450920245,2.32972973,2.32972973,1.844152401,1.082461205,1.991154791,1.991154791,1.477677537,0.216,0.331,0.331,0.261,-0.10,-0.03,-0.03,-0.08,0.23,0.31,0.31,0.26,-0.06,-0.01,-0.01,-0.05,0.09644591352,-0.02,0.03,0.04,27,27.75629311,4.45,73.625,214,17,36.25,124,4.32,6.86,109.1449698,109.5051789,9.875,32.625,0,0,0,0,0,1.94
Anthony Miller,1,2,51,2018,23,3,38,22.23589744,238,3590,15.08403361,6.26,1.00,0.41,0.27,1.49,3.01,3.00,2.50,0.96,2.55,2.36,1.95,0.17,0.40,0.40,0.32,-0.15,0.04,0.05,-0.02,0.17,0.34,0.36,0.29,-0.12,0.01,0.06,-0.02,10.58,-0.01,0.02,-0.01,27.00,27.97,4.55,71.08,201.00,22.00,39.00,125.00,4.31,6.70,93.80,87.72,10.00,31.63,0.00,0.00,0.00,0.00,0.00,8.87
Dante Pettis,10,2,44,2018,22,4,48,10.93814103,163,2256,13.8404908,3.40,1.00,0.32,0.17,0.65,2.19,2.19,1.47,0.21,1.67,1.67,0.95,0.07,0.32,0.32,0.19,-0.13,-0.02,-0.02,-0.09,0.09,0.26,0.26,0.18,-0.09,-0.04,-0.04,-0.07,-1.64,-0.08,0.01,-0.04,24.00,24.99,4.53,72.33,186.00,10.00,36.00,125.00,4.25,6.96,88.34,85.55,9.50,32.25,0.00,0.00,0.00,0.00,0.00,7.68
Ryan Switzer,0,4,133,2017,22,4,51,13.01113782,243,2903,11.94650206,4.764705882,1,0.25,0.20,0.7527593819,2.427947598,2.427947598,1.591616564,0.2220750552,1.938479322,1.938479322,1.057505799,0.101,0.246,0.246,0.178,-0.10,-0.09,-0.08,-0.10,0.09,0.29,0.29,0.20,-0.09,-0.01,-0.01,-0.06,4.698003283,-0.08,0.02,0.02,27,27.12037805,4.51,68.5,181,11,32,116,4,6.77,87.49886167,75.98827214,9.25,28,0,0,0,0,0,2.933333333
Antonio Callaway,11,4,105,2018,21,2,25,11.49519231,89,1399,15.71910112,3.56,1.00,0.22,0.22,1.68,1.76,1.76,1.72,1.30,1.30,1.27,1.28,0.22,0.22,0.21,0.21,0.02,-0.04,0.02,-0.01,0.23,0.26,0.26,0.25,0.05,0.02,0.05,0.04,-1.54,-0.02,-0.01,-0.03,28.00,28.36,4.41,70.42,200.00,7.00,34.00,121.00,4.38,7.05,105.76,97.06,9.50,31.50,0.00,0.00,0.00,0.00,0.00,6.00
Trent Taylor,5,5,177,2017,23,4,50,17.77138278,327,4179,12.77981651,6.54,1,0.33,0.26,0.5803571429,3.320441989,3.320441989,2.096460988,0.2406529018,2.599801672,2.599801672,1.596350891,0.153,0.317,0.317,0.263,-0.10,-0.04,-0.02,-0.05,0.11,0.35,0.35,0.25,-0.13,0.03,0.03,-0.04,12.97834181,-0.02,0.08,0.04,27,27.52067342,4.63,68,181,13,33,117,4.01,6.74,78.77430976,67.41598022,8.25,28.75,0,0,0,0,0,5.36
Keke Coutee,2,4,103,2018,21,3,30,14.39786325,159,2424,15.24528302,5.30,1.00,0.31,0.16,1.37,2.64,2.64,1.39,0.96,2.17,2.17,1.56,0.01,0.31,0.31,0.16,-0.10,-0.01,-0.01,-0.06,0.02,0.33,0.33,0.24,-0.08,0.04,0.04,-0.02,5.44,-0.03,0.05,0.02,26.00,26.35,4.43,69.50,181.00,14.00,34.50,113.00,4.15,6.93,93.99,84.03,8.38,29.88,0.00,0.00,0.00,0.00,0.00,9.02
JMon Moore,11,4,133,2018,23,4,37,12.19825175,158,2477,15.67721519,4.27,1.00,0.28,0.18,0.94,2.52,2.52,1.45,0.63,1.88,1.80,1.44,0.01,0.30,0.25,0.20,-0.08,-0.11,-0.03,-0.07,0.01,0.27,0.29,0.24,-0.11,-0.05,-0.02,-0.06,3.62,-0.02,0.01,0.01,26.00,26.28,4.57,74.42,207.00,21.00,39.50,120.00,4.04,6.56,94.92,97.29,9.38,32.88,0.00,0.00,0.00,0.00,0.00,2.00
Tre'Quan Smith,1,3,91,2018,22,3,37,15.63653846,168,2748,16.35714286,4.54,1.00,0.32,0.27,0.82,1.28,1.28,1.01,0.67,1.00,1.00,0.81,0.31,0.34,0.31,0.32,0.06,-0.03,0.06,0.02,0.32,0.27,0.32,0.30,0.08,-0.03,0.08,0.02,3.50,0.00,-0.04,-0.02,26.00,26.42,4.49,73.50,203.00,12.00,37.50,121.75,4.50,6.97,99.89,99.88,9.00,34.50,0.00,0.00,0.00,0.00,0.00,6.74
DaeSean Hamilton,4,4,113,2018,23,4,51,11.84326923,214,2842,13.28037383,4.20,1.00,0.28,0.22,1.81,1.87,1.87,1.61,1.20,1.34,1.34,1.03,0.23,0.27,0.27,0.21,-0.03,-0.09,-0.03,-0.11,0.30,0.25,0.30,0.22,0.06,-0.07,0.06,-0.06,0.70,-0.06,-0.02,0.00,27.00,27.22,4.57,72.42,203.00,16.00,34.50,120.50,4.15,6.84,93.08,90.35,9.38,31.00,0.00,0.00,0.00,0.00,0.00,7.08
Equanimeous St Brown,6,6,207,2018,21,3,25,9.394444444,92,1484,16.13043478,3.68,1.00,0.27,0.16,2.48,2.48,1.47,1.32,1.92,1.92,1.05,1.49,0.00,0.32,0.21,0.18,0.07,-0.11,0.07,-0.02,0.00,0.22,0.31,0.27,0.08,-0.07,0.08,0.00,-5.14,-0.03,-0.07,-0.02,25.00,25.71,4.48,76.50,214.00,20.00,34.50,121.75,4.25,6.96,106.25,115.09,9.75,33.00,0.00,0.00,0.00,0.00,0.00,4.94
Richie James,5,7,240,2018,23,3,31,23.82615385,243,3249,13.37037037,7.84,6.00,0.23,0.26,2.67,2.92,0.61,2.07,2.20,2.52,2.52,2.36,0.29,0.35,0.11,0.25,0.04,0.03,0.04,0.03,0.33,0.09,0.38,0.36,0.09,0.09,0.09,0.09,9.18,0.08,0.03,-0.02,26.00,26.20,4.48,70.08,183.00,6.00,35.50,122.00,4.16,6.87,90.86,82.60,9.00,31.25,0.00,0.00,0.00,0.00,0.00,3.61
Trey Quinn,1,7,256,2018,22,3,26,10.60377493,136,1512,11.11764706,5.23,1.00,0.35,0.17,0.70,2.55,2.55,1.18,0.11,2.06,2.06,1.08,0.05,0.35,0.35,0.14,-0.16,0.01,0.01,-0.07,0.09,0.32,0.32,0.21,-0.09,0.02,0.02,-0.04,7.64,-0.09,0.01,-0.01,28.00,28.11,4.53,71.25,203.00,17.00,32.00,116.00,4.22,6.98,96.84,90.99,10.13,30.75,0.00,0.00,0.00,0.00,0.00,7.86
Corey Coleman,2,1,15,2016,22,3,33,20.94454545,173,3009,17.39306358,5.242424242,1,0.41,0.23,1.176339286,3.512886598,3.512886598,2.283152515,0.4816964286,2.906572165,2.906572165,1.6581793,0.085,0.408,0.408,0.252,-0.17,0.08,0.08,-0.05,0.11,0.36,0.36,0.24,-0.13,0.06,0.06,-0.04,11.19090932,-0.04,0.08,0.06,27,27.0572304,4.425,71,194,17,40.5,129,4.25149061,6.964760192,101.1995603,94.42077534,9,30.25,0,0,0,0,0,6.403333333
